production_type,name,installed_capacity,unit_type
HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,65,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE GERVANS,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,20,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE SABLONS,40,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 04 DE LA CENTRALE HYDRAULIQUE DE VAUGRIS,18,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,58,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,30,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,46,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,66,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,35,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,32,GENERATING_UNIT

HYDRO_RUN-OF-RIVER_AND_POUNDAGE,GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,58,GENERATING_UNIT

