identifier,start_date,end_date,type,production_type,status,name,installed_capacity,available_capacity,unit_type
EC-EDF-05470-EDF-T-00043900,2020-01-03T20:20:00+01:00,2020-01-03T23:00:00+01:00,FORCED_UNAVAILABILITY,NUCLEAR,ACTIVE,TRICASTIN 1,915,380,GENERATING_UNIT
EC-GDFS-14275a86d37d64d01bcd,2016-06-05T02:00:00+02:00,2034-09-01T00:00:00+02:00,PLANNED_MAINTENANCE,OTHER,ACTIVE,CYCOFOS PL2,62,0,GENERATING_UNIT
EC-GDFS-1474b062340004d47b66,2020-01-01T15:40:00+01:00,2020-01-01T18:59:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,DK6-TV2,231,0,GENERATING_UNIT
EC-GDFS-1a2824371c71340e2a52,2020-01-02T14:58:00+01:00,2020-01-02T18:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,DK6-TV2,231,0,GENERATING_UNIT
EC-GDFS-1a9cd7d661bb742c98f6,2020-01-01T15:40:00+01:00,2020-01-01T18:59:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,ACTIVE,DK6-TG2,167,0,GENERATING_UNIT
EC-GDFS-1ac149ae6fd8f49cc81b,2020-01-03T00:00:00+01:00,2020-01-03T08:00:00+01:00,PLANNED_MAINTENANCE,FOSSIL_GAS,ACTIVE,DK6-TG1,167,162,GENERATING_UNIT
EC-GDFS-1cd2d91fb52424064aa9,2020-01-01T15:39:00+01:00,2020-01-01T19:49:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,INACTIVE,DK6-TV1,231,0,GENERATING_UNIT
EC-GDFS-1dc7fc2884dd14eac8cd,2020-01-01T15:39:00+01:00,2020-01-01T19:49:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_GAS,INACTIVE,DK6-TG1,167,0,GENERATING_UNIT
EC-UFP-A80-20191123053945,2019-11-23T23:59:00+01:00,2020-01-06T00:00:00+01:00,FORCED_UNAVAILABILITY,FOSSIL_HARD_COAL,ACTIVE,PROVENCE 5,595,0,GENERATING_UNIT
EC-UFP-A80-20191211124456,2019-12-11T12:45:00+01:00,2020-03-17T00:00:00+01:00,FORCED_UNAVAILABILITY,BIOMASS,ACTIVE,PROVENCE 4 BIOMASSE,150,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00036985,2020-01-06T08:00:00+01:00,2020-11-13T17:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,ACTIVE,MONTEZIC 4,227,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00054846,2020-01-07T14:00:00+01:00,2020-01-07T16:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,INACTIVE,MONTEZIC,910,0,PRODUCTION_UNIT
EC-EDF-05470-EDF-H-00058854,2020-01-06T10:00:00+01:00,2020-01-06T12:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_WATER_RESERVOIR,ACTIVE,MONTEYNARD,366,0,PRODUCTION_UNIT
EC-EDF-05470-EDF-H-00058934,2020-01-07T07:30:00+01:00,2020-01-07T17:00:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,ACTIVE,SUPER BISSORTE 4,152,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059017,2020-01-05T01:47:00+01:00,2020-01-05T02:01:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,COCHE 5,240,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059020,2020-01-07T00:30:00+01:00,2020-01-07T01:03:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,MONTEZIC 1,227,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059026,2020-01-08T09:00:00+01:00,2020-01-08T11:17:00+01:00,PLANNED_MAINTENANCE,HYDRO_PUMPED_STORAGE,INACTIVE,COCHE 5,240,0,GENERATING_UNIT
EC-EDF-05470-EDF-H-00059040,2020-01-08T21:39:00+01:00,2020-01-08T21:49:00+01:00,FORCED_UNAVAILABILITY,HYDRO_PUMPED_STORAGE,INACTIVE,REVIN 3,202,0,GENERATING_UNIT
